Date,AgeRange,FirstDailyDose,FirstDailyDoseCumulative,SecondDailyDose,SecondDailyDoseCumulative,SingleDailyDose,SingleDailyDoseCumulative,CombinedAllDoses,CombinedAllDosesCumulative,FullyVaccinated,FullyVaccinatedCumulative,Cases_per_100
2020-12-22,12-17,8,8,0,0,0,0,0,0,0,0,37.89
2020-12-23,12-17,1,9,0,0,0,0,0,0,0,0,38.03
2020-12-25,12-17,9,18,0,0,0,0,0,0,0,0,39.24
2020-12-27,12-17,2,20,0,0,0,0,0,0,0,0,38.73
2020-12-28,12-17,4,24,0,0,0,0,0,0,0,0,38.07
2020-12-29,12-17,1,25,0,0,0,0,0,0,0,0,37.01
2020-12-30,12-17,2,27,1,1,0,0,0,0,0,0,37.4
2020-12-31,12-17,2,29,0,1,0,0,0,0,0,0,37.7
2021-01-01,12-17,12,41,0,1,0,0,0,0,0,0,40.31
2021-01-02,12-17,4,45,0,1,0,0,0,0,0,0,41.9
2021-01-03,12-17,1,46,1,2,0,0,0,0,0,0,42.82
2021-01-04,12-17,7,53,0,2,0,0,0,0,0,0,44
2021-01-05,12-17,13,66,1,3,0,0,0,0,0,0,44.18
2021-01-06,12-17,17,83,0,3,0,0,0,0,0,0,45.4
2021-01-07,12-17,14,97,0,3,0,0,0,0,0,0,45.4
2021-01-08,12-17,34,131,1,4,0,0,0,0,0,0,45.81
2021-01-09,12-17,6,137,0,4,0,0,0,0,0,0,47.72
2021-01-10,12-17,5,142,0,4,0,0,0,0,0,0,50.46
2021-01-11,12-17,17,159,0,4,0,0,0,0,0,0,51.71
2021-01-12,12-17,26,185,8,12,0,0,0,0,0,0,53.39
2021-01-13,12-17,17,202,1,13,0,0,0,0,0,0,51.9
2021-01-14,12-17,12,214,0,13,0,0,0,0,0,0,51.85
2021-01-15,12-17,17,231,9,22,0,0,0,0,0,0,49.94
2021-01-16,12-17,2,233,0,22,0,0,0,0,0,0,48.84
2021-01-17,12-17,4,237,2,24,0,0,0,0,0,0,46.72
2021-01-18,12-17,6,243,1,25,0,0,0,0,0,0,42.14
2021-01-19,12-17,10,253,0,25,0,0,0,0,0,0,41.32
2021-01-20,12-17,10,263,0,25,0,0,0,0,0,0,39.5
2021-01-21,12-17,16,279,1,26,0,0,0,0,0,0,38.2
2021-01-22,12-17,16,295,4,30,0,0,0,0,0,0,36.1
2021-01-23,12-17,12,307,0,30,0,0,0,0,0,0,35.5
2021-01-24,12-17,14,321,1,31,0,0,0,0,0,0,35.26
2021-01-25,12-17,10,331,6,37,0,0,0,0,0,0,34.11
2021-01-26,12-17,13,344,7,44,0,0,0,0,0,0,33.57
2021-01-27,12-17,21,365,9,53,0,0,0,0,0,0,33.62
2021-01-28,12-17,16,381,8,61,0,0,0,0,0,0,32.41
2021-01-29,12-17,58,439,26,87,0,0,0,0,0,0,31.71
2021-01-30,12-17,19,458,3,90,0,0,0,0,0,0,30.77
2021-01-31,12-17,11,469,3,93,0,0,0,0,0,0,29.53
2021-02-01,12-17,48,517,6,99,0,0,0,0,0,0,28.17
2021-02-02,12-17,30,547,11,110,0,0,0,0,0,0,25.81
2021-02-03,12-17,25,572,12,122,0,0,0,0,0,0,24.31
2021-02-04,12-17,16,588,13,135,0,0,0,0,0,0,23.52
2021-02-05,12-17,15,603,13,148,0,0,0,0,0,0,22.11
2021-02-06,12-17,13,616,5,153,0,0,0,0,0,0,21.68
2021-02-07,12-17,7,623,2,155,0,0,0,0,0,0,21.07
2021-02-08,12-17,15,638,12,167,0,0,0,0,0,0,21.24
2021-02-09,12-17,18,656,11,178,0,0,0,0,0,0,21.7
2021-02-10,12-17,25,681,19,197,0,0,0,0,0,0,20.9
2021-02-11,12-17,26,707,10,207,0,0,0,0,0,0,19.83
2021-02-12,12-17,10,717,13,220,0,0,0,0,0,0,19.03
2021-10-29,11 and Under,6,6,1,1,0,0,0,0,0,0,12.45
2021-10-30,11 and Under,7,13,0,1,0,0,0,0,0,0,12.26
2021-10-31,11 and Under,0,13,1,2,0,0,0,0,0,0,12.11
2021-11-01,11 and Under,17,30,2,4,0,0,0,0,0,0,11.83
2021-11-02,11 and Under,7,37,3,7,0,0,0,0,0,0,11.75
2021-11-03,11 and Under,146,183,2,9,0,0,0,0,0,0,11.45
2021-11-04,11 and Under,2046,2229,0,9,0,0,0,0,0,0,11.34
2021-11-05,11 and Under,3347,5576,4,13,0,0,0,0,0,0,11.16
2021-11-06,11 and Under,7528,13104,7,20,0,0,0,0,0,0,11.37
2021-11-07,11 and Under,6166,19270,68,88,0,0,0,0,0,0,11.62
2021-11-08,11 and Under,7950,27220,10,98,0,0,0,0,0,0,11.54
2021-11-09,11 and Under,7828,35048,38,136,0,0,0,0,0,0,11.89
2021-11-10,11 and Under,8605,43653,93,229,0,0,0,0,0,0,12.33
2021-11-11,11 and Under,7346,50999,27,256,0,0,0,0,0,0,12.43
2021-11-12,11 and Under,7410,58409,12,268,0,0,0,0,0,0,12.88
2021-11-13,11 and Under,7435,65844,6,274,0,0,0,0,0,0,13.1
2021-11-14,11 and Under,2539,68383,4,278,1,1,2544,2544,5,5,13.48
2021-11-15,11 and Under,4990,73373,13,291,0,1,0,2544,0,5,14.08
2021-11-16,11 and Under,5397,78770,27,318,0,1,0,2544,0,5,13.96
2021-11-17,11 and Under,5313,84083,129,447,1,2,5443,7987,130,135,14.18
2021-11-18,11 and Under,5216,89299,27,474,0,2,0,7987,0,135,14.59
2021-11-19,11 and Under,4994,94293,29,503,0,2,0,7987,0,135,14.67
2021-11-20,11 and Under,7400,101693,27,530,0,2,0,7987,0,135,15.11
2021-11-21,11 and Under,2081,103774,24,554,0,2,0,7987,0,135,15.38
2021-11-22,11 and Under,5083,108857,51,605,0,2,0,7987,0,135,15.47
2021-11-23,11 and Under,4386,113243,39,644,0,2,0,7987,0,135,15.74
2021-11-24,11 and Under,3875,117118,349,993,8,10,4232,12219,357,492,15.82
2021-11-25,11 and Under,89,117207,19,1012,0,10,0,12219,0,492,15.62
2021-11-26,11 and Under,1860,119067,1743,2755,0,10,0,12219,0,492,14.85
2021-11-27,11 and Under,1330,120397,4384,7139,0,10,0,12219,0,492,14.46
2021-11-28,11 and Under,638,121035,5578,12717,0,10,0,12219,0,492,14.29
2021-11-29,11 and Under,2144,123179,7008,19725,0,10,0,12219,0,492,15.48
2021-11-30,11 and Under,2204,125383,7241,26966,0,10,0,12219,0,492,16.04
2021-12-01,11 and Under,1946,127329,7357,34323,2,12,9305,21524,7359,7851,17.73
2021-12-02,11 and Under,1691,129020,6406,40729,0,12,0,21524,0,7851,19.39
2021-12-03,11 and Under,2072,131092,6804,47533,0,12,0,21524,0,7851,22.16
2021-12-04,11 and Under,2209,133301,8451,55984,0,12,0,21524,0,7851,22.54
2021-12-05,11 and Under,941,134242,2453,58437,1,13,3395,24919,2454,10305,23.05
2021-12-06,11 and Under,2200,136442,5170,63607,0,13,0,24919,0,10305,22.92
2021-12-07,11 and Under,1821,138263,5055,68662,0,13,0,24919,0,10305,23.08
2021-12-08,11 and Under,2116,140379,5159,73821,4,17,7279,32198,5163,15468,22.35
2021-12-09,11 and Under,1972,142351,5007,78828,0,17,0,32198,0,15468,22.46
2021-12-10,11 and Under,2348,144699,5079,83907,0,17,0,32198,0,15468,20.98
2021-12-11,11 and Under,1586,146285,6401,90308,0,17,0,32198,0,15468,21.84
2021-12-12,11 and Under,2171,148456,2038,92346,0,17,0,32198,0,15468,22.95
2021-12-13,11 and Under,1601,150057,4139,96485,0,17,0,32198,0,15468,24.19
2021-12-14,11 and Under,1892,151949,3979,100464,0,17,0,32198,0,15468,26.52
2021-12-15,11 and Under,2485,154434,3543,104007,4,21,6032,38230,3547,19015,30.36
2020-12-14,18-49,14,14,0,0,0,0,0,0,0,0,46.39
2020-12-15,18-49,36,50,1,1,0,0,0,0,0,0,45.84
2020-12-16,18-49,512,562,5,6,0,0,0,0,0,0,45.17
2020-12-17,18-49,864,1426,8,14,0,0,0,0,0,0,42.84
2020-12-18,18-49,1972,3398,10,24,0,0,0,0,0,0,42.73
2020-12-19,18-49,620,4018,6,30,0,0,0,0,0,0,39.57
2020-12-20,18-49,263,4281,5,35,0,0,0,0,0,0,38.19
2020-12-21,18-49,2602,6883,21,56,0,0,0,0,0,0,38.07
2020-12-22,18-49,3235,10118,22,78,0,0,0,0,0,0,37.89
2020-12-23,18-49,3298,13416,32,110,0,0,0,0,0,0,38.03
2020-12-24,18-49,1630,15046,10,120,0,0,0,0,0,0,39.57
2020-12-25,18-49,296,15342,1,121,0,0,0,0,0,0,39.24
2020-12-26,18-49,753,16095,5,126,0,0,0,0,0,0,39.43
2020-12-27,18-49,780,16875,9,135,0,0,0,0,0,0,38.73
2020-12-28,18-49,5158,22033,41,176,0,0,0,0,0,0,38.07
2020-12-29,18-49,5871,27904,37,213,0,0,0,0,0,0,37.01
2020-12-30,18-49,7333,35237,65,278,0,0,0,0,0,0,37.4
2020-12-31,18-49,4420,39657,32,310,0,0,0,0,0,0,37.7
2021-01-01,18-49,1501,41158,97,407,0,0,0,0,0,0,40.31
2021-01-02,18-49,1627,42785,25,432,0,0,0,0,0,0,41.9
2021-01-03,18-49,1636,44421,60,492,0,0,0,0,0,0,42.82
2021-01-04,18-49,6857,51278,240,732,0,0,0,0,0,0,44
2021-01-05,18-49,6286,57564,388,1120,0,0,0,0,0,0,44.18
2021-01-06,18-49,7695,65259,669,1789,0,0,0,0,0,0,45.4
2021-01-07,18-49,8141,73400,1233,3022,0,0,0,0,0,0,45.4
2021-01-08,18-49,8441,81841,1816,4838,0,0,0,0,0,0,45.81
2021-01-09,18-49,2661,84502,658,5496,0,0,0,0,0,0,47.72
2021-01-10,18-49,1368,85870,274,5770,0,0,0,0,0,0,50.46
2021-01-11,18-49,6633,92503,2249,8019,0,0,0,0,0,0,51.71
2021-01-12,18-49,8295,100798,2895,10914,0,0,0,0,0,0,53.39
2021-01-13,18-49,9585,110383,2173,13087,0,0,0,0,0,0,51.9
2021-01-14,18-49,8970,119353,1197,14284,0,0,0,0,0,0,51.85
2021-01-15,18-49,9641,128994,931,15215,0,0,0,0,0,0,49.94
2021-01-16,18-49,2679,131673,708,15923,0,0,0,0,0,0,48.84
2021-01-17,18-49,895,132568,676,16599,0,0,0,0,0,0,46.72
2021-01-18,18-49,2216,134784,1427,18026,0,0,0,0,0,0,42.14
2021-01-19,18-49,4956,139740,2880,20906,0,0,0,0,0,0,41.32
2021-01-20,18-49,5748,145488,3003,23909,0,0,0,0,0,0,39.5
2021-01-21,18-49,7404,152892,2174,26083,0,0,0,0,0,0,38.2
2021-01-22,18-49,9604,162496,1737,27820,0,0,0,0,0,0,36.1
2021-01-23,18-49,3285,165781,856,28676,0,0,0,0,0,0,35.5
2021-01-24,18-49,791,166572,716,29392,0,0,0,0,0,0,35.26
2021-01-25,18-49,4353,170925,4341,33733,0,0,0,0,0,0,34.11
2021-01-26,18-49,4928,175853,4444,38177,0,0,0,0,0,0,33.57
2021-01-27,18-49,6047,181900,6681,44858,0,0,0,0,0,0,33.62
2021-01-28,18-49,5953,187853,4909,49767,0,0,0,0,0,0,32.41
2021-01-29,18-49,6145,193998,4148,53915,0,0,0,0,0,0,31.71
2021-01-30,18-49,4510,198508,1488,55403,0,0,0,0,0,0,30.77
2021-01-31,18-49,1371,199879,545,55948,0,0,0,0,0,0,29.53
2021-02-01,18-49,2012,201891,2478,58426,0,0,0,0,0,0,28.17
2020-12-14,50-64,5,5,0,0,0,0,0,0,0,0,46.39
2020-12-15,50-64,29,34,1,1,0,0,0,0,0,0,45.84
2020-12-16,50-64,155,189,1,2,0,0,0,0,0,0,45.17
2020-12-17,50-64,350,539,1,3,0,0,0,0,0,0,42.84
2020-12-18,50-64,973,1512,3,6,0,0,0,0,0,0,42.73
2020-12-19,50-64,316,1828,3,9,0,0,0,0,0,0,39.57
2020-12-20,50-64,106,1934,1,10,0,0,0,0,0,0,38.19
2020-12-21,50-64,1130,3064,6,16,0,0,0,0,0,0,38.07
2020-12-22,50-64,1836,4900,9,25,0,0,0,0,0,0,37.89
2020-12-23,50-64,1840,6740,9,34,0,0,0,0,0,0,38.03
2020-12-24,50-64,907,7647,7,41,0,0,0,0,0,0,39.57
2020-12-25,50-64,338,7985,3,44,0,0,0,0,0,0,39.24
2020-12-26,50-64,636,8621,4,48,0,0,0,0,0,0,39.43
2020-12-27,50-64,536,9157,3,51,0,0,0,0,0,0,38.73
2020-12-28,50-64,2846,12003,14,65,0,0,0,0,0,0,38.07
2020-12-29,50-64,3625,15628,17,82,0,0,0,0,0,0,37.01
2020-12-30,50-64,4073,19701,32,114,0,0,0,0,0,0,37.4
2020-12-31,50-64,2384,22085,17,131,0,0,0,0,0,0,37.7
2021-01-01,50-64,945,23030,49,180,0,0,0,0,0,0,40.31
2021-01-02,50-64,840,23870,9,189,0,0,0,0,0,0,41.9
2021-01-03,50-64,1025,24895,20,209,0,0,0,0,0,0,42.82
2021-01-04,50-64,4242,29137,108,317,0,0,0,0,0,0,44
2021-01-05,50-64,3908,33045,162,479,0,0,0,0,0,0,44.18
2021-01-06,50-64,4951,37996,265,744,0,0,0,0,0,0,45.4
2021-01-07,50-64,4784,42780,536,1280,0,0,0,0,0,0,45.4
2021-01-08,50-64,4975,47755,910,2190,0,0,0,0,0,0,45.81
2021-01-09,50-64,1548,49303,309,2499,0,0,0,0,0,0,47.72
2021-01-10,50-64,890,50193,111,2610,0,0,0,0,0,0,50.46
2021-01-11,50-64,4111,54304,1025,3635,0,0,0,0,0,0,51.71
2021-01-12,50-64,4953,59257,1685,5320,0,0,0,0,0,0,53.39
2021-01-13,50-64,5654,64911,1218,6538,0,0,0,0,0,0,51.9
2021-01-14,50-64,5376,70287,599,7137,0,0,0,0,0,0,51.85
2021-01-15,50-64,5456,75743,681,7818,0,0,0,0,0,0,49.94
2021-01-16,50-64,1278,77021,478,8296,0,0,0,0,0,0,48.84
2021-01-17,50-64,570,77591,398,8694,0,0,0,0,0,0,46.72
2021-01-18,50-64,1423,79014,1050,9744,0,0,0,0,0,0,42.14
2021-01-19,50-64,2912,81926,1621,11365,0,0,0,0,0,0,41.32
2021-01-20,50-64,3518,85444,1634,12999,0,0,0,0,0,0,39.5
2021-01-21,50-64,4362,89806,1190,14189,0,0,0,0,0,0,38.2
2021-01-22,50-64,5903,95709,1091,15280,0,0,0,0,0,0,36.1
2021-01-23,50-64,1820,97529,580,15860,0,0,0,0,0,0,35.5
2021-01-24,50-64,590,98119,585,16445,0,0,0,0,0,0,35.26
2021-01-25,50-64,2586,100705,2929,19374,0,0,0,0,0,0,34.11
2021-01-26,50-64,2801,103506,2949,22323,0,0,0,0,0,0,33.57
2021-01-27,50-64,3625,107131,4014,26337,0,0,0,0,0,0,33.62
2021-01-28,50-64,3714,110845,3008,29345,0,0,0,0,0,0,32.41
2021-01-29,50-64,4022,114867,2503,31848,0,0,0,0,0,0,31.71
2021-01-30,50-64,2687,117554,763,32611,0,0,0,0,0,0,30.77
2021-01-31,50-64,793,118347,422,33033,0,0,0,0,0,0,29.53
2021-02-01,50-64,1482,119829,1677,34710,0,0,0,0,0,0,28.17
2021-12-16,11 and Under,2908,157342,1308,105315,0,21,0,38230,0,19015,34.58
2021-12-17,11 and Under,2399,159741,2106,107421,0,21,0,38230,0,19015,39.57
2021-12-18,11 and Under,2414,162155,2039,109460,0,21,0,38230,0,19015,42.2
2021-12-19,11 and Under,1156,163311,621,110081,0,21,0,38230,0,19015,41.57
2021-12-20,11 and Under,2186,165497,2119,112200,0,21,0,38230,0,19015,52.73
2021-12-21,11 and Under,2512,168009,2052,114252,0,21,0,38230,0,19015,58.46
2021-12-22,11 and Under,2549,170558,1786,116038,10,31,4345,42575,1796,20811,68.8
2021-12-23,11 and Under,2330,172888,1530,117568,0,31,0,42575,0,20811,85.57
2021-12-24,11 and Under,317,173205,312,117880,0,31,0,42575,0,20811,101.11
2021-12-25,11 and Under,3,173208,8,117888,0,31,0,42575,0,20811,109.91
2021-12-26,11 and Under,400,173608,640,118528,0,31,0,42575,0,20811,120.78
2021-12-27,11 and Under,2038,175646,2157,120685,0,31,0,42575,0,20811,122.77
2021-12-28,11 and Under,2495,178141,1815,122500,0,31,0,42575,0,20811,139.99
2021-12-29,11 and Under,2677,180818,2019,124519,2,33,4698,47273,2021,22832,158.73
2021-12-30,11 and Under,2365,183183,1757,126276,0,33,0,47273,0,22832,164.58
2021-12-31,11 and Under,785,183968,760,127036,0,33,0,47273,0,22832,176.35
2022-01-01,11 and Under,242,184210,188,127224,0,33,0,47273,0,22832,188.37
2022-01-02,11 and Under,446,184656,758,127982,0,33,0,47273,0,22832,209.96
2022-01-03,11 and Under,835,185491,1031,129013,0,33,0,47273,0,22832,228.78
2022-01-04,11 and Under,1679,187170,1872,130885,0,33,0,47273,0,22832,227.14
2022-01-05,11 and Under,2223,189393,2780,133665,3,36,5006,52279,2783,25615,223.05
2022-01-06,11 and Under,2087,191480,2796,136461,0,36,0,52279,0,25615,222.3
2022-01-07,11 and Under,1577,193057,2077,138538,0,36,0,52279,0,25615,219.6
2022-01-08,11 and Under,1750,194807,2668,141206,0,36,0,52279,0,25615,235.17
2022-01-09,11 and Under,792,195599,1250,142456,0,36,0,52279,0,25615,223.91
2022-01-10,11 and Under,1629,197228,1836,144292,0,36,0,52279,0,25615,212.25
2022-01-11,11 and Under,1894,199122,2172,146464,0,36,0,52279,0,25615,213.36
2022-01-12,11 and Under,2101,201223,2284,148748,3,39,4388,56667,2287,27902,207.48
2022-01-13,11 and Under,2119,203342,2223,150971,0,39,0,56667,0,27902,202.04
2022-01-14,11 and Under,2451,205793,1486,152457,0,39,0,56667,0,27902,193.99
2022-01-15,11 and Under,1554,207347,830,153287,0,39,0,56667,0,27902,171.17
2022-01-16,11 and Under,610,207957,545,153832,0,39,0,56667,0,27902,163.22
2022-01-17,11 and Under,1000,208957,1067,154899,0,39,0,56667,0,27902,146.96
2022-01-18,11 and Under,1383,210340,1972,156871,0,39,0,56667,0,27902,129.63
2022-01-19,11 and Under,1749,212089,2351,159222,6,45,4106,60773,2357,30259,124.92
2022-01-20,11 and Under,1375,213464,1775,160997,0,45,0,60773,0,30259,111.98
2022-01-21,11 and Under,1655,215119,1285,162282,0,45,0,60773,0,30259,99.48
2022-01-22,11 and Under,1082,216201,942,163224,0,45,0,60773,0,30259,89.02
2022-01-23,11 and Under,404,216605,615,163839,0,45,0,60773,0,30259,79.56
2022-01-24,11 and Under,1125,217730,1130,164969,0,45,0,60773,0,30259,77.54
2022-01-25,11 and Under,1153,218883,1531,166500,0,45,0,60773,0,30259,74.58
2022-01-26,11 and Under,1240,220123,1739,168239,2,47,2981,63754,1741,32000,60.89
2022-01-27,11 and Under,1044,221167,1926,170165,0,47,0,63754,0,32000,56.54
2022-01-28,11 and Under,966,222133,1369,171534,0,47,0,63754,0,32000,50.54
2022-01-29,11 and Under,616,222749,1284,172818,0,47,0,63754,0,32000,46.33
2022-01-30,11 and Under,310,223059,732,173550,0,47,0,63754,0,32000,42.4
2022-01-31,11 and Under,714,223773,1402,174952,0,47,0,63754,0,32000,40.06
2022-02-01,11 and Under,767,224540,1577,176529,0,47,0,63754,0,32000,36.21
2021-02-13,12-17,18,735,8,228,0,0,0,0,0,0,17.33
2021-02-14,12-17,20,755,3,231,0,0,0,0,0,0,16.9
2021-02-15,12-17,13,768,22,253,0,0,0,0,0,0,15.8
2021-02-16,12-17,26,794,15,268,0,0,0,0,0,0,14.92
2021-02-17,12-17,7,801,19,287,0,0,0,0,0,0,14.42
2021-02-18,12-17,5,806,1,288,0,0,0,0,0,0,14.17
2021-02-19,12-17,12,818,22,310,0,0,0,0,0,0,13.23
2021-02-20,12-17,25,843,40,350,0,0,0,0,0,0,12.69
2021-02-21,12-17,15,858,14,364,0,0,0,0,0,0,12.43
2021-02-22,12-17,13,871,24,388,0,0,0,0,0,0,12.78
2021-02-23,12-17,38,909,46,434,0,0,0,0,0,0,13.02
2021-02-24,12-17,33,942,20,454,0,0,0,0,0,0,13
2021-02-25,12-17,37,979,34,488,0,0,0,0,0,0,12.91
2021-02-26,12-17,30,1009,16,504,0,0,0,0,0,0,13.08
2021-02-27,12-17,51,1060,22,526,0,0,0,0,0,0,13.57
2021-02-28,12-17,34,1094,1,527,0,0,0,0,0,0,13.55
2021-03-01,12-17,69,1163,20,547,0,0,0,0,0,0,13.1
2021-03-02,12-17,37,1200,9,556,0,0,0,0,0,0,12.92
2021-03-03,12-17,46,1246,23,579,1,1,70,70,24,24,12.52
2021-03-04,12-17,30,1276,25,604,2,3,57,127,27,51,12.39
2021-03-05,12-17,46,1322,18,622,1,4,65,192,19,70,12.61
2021-03-06,12-17,85,1407,14,636,4,8,103,295,18,88,12.33
2021-03-07,12-17,43,1450,15,651,1,9,59,354,16,104,12.6
2021-03-08,12-17,85,1535,13,664,0,9,0,354,0,104,12.99
2021-03-09,12-17,95,1630,25,689,2,11,122,476,27,131,13.26
2021-03-10,12-17,111,1741,15,704,1,12,127,603,16,147,13.53
2021-03-11,12-17,161,1902,8,712,0,12,0,603,0,147,13.71
2021-03-12,12-17,141,2043,20,732,0,12,0,603,0,147,14.11
2021-03-13,12-17,166,2209,12,744,1,13,179,782,13,160,14.47
2021-03-14,12-17,157,2366,17,761,0,13,0,782,0,160,14.23
2021-03-15,12-17,170,2536,22,783,0,13,0,782,0,160,14.3
2021-03-16,12-17,214,2750,18,801,1,14,233,1015,19,179,14.34
2021-03-17,12-17,261,3011,39,840,0,14,0,1015,0,179,14.78
2021-03-18,12-17,236,3247,35,875,1,15,272,1287,36,215,15.17
2021-03-19,12-17,210,3457,28,903,0,15,0,1287,0,215,15.21
2021-03-20,12-17,258,3715,41,944,0,15,0,1287,0,215,15.55
2021-03-21,12-17,227,3942,33,977,0,15,0,1287,0,215,15.71
2021-03-22,12-17,270,4212,37,1014,0,15,0,1287,0,215,15.86
2021-03-23,12-17,310,4522,44,1058,0,15,0,1287,0,215,16.46
2021-03-24,12-17,325,4847,40,1098,0,15,0,1287,0,215,17.1
2021-03-25,12-17,349,5196,45,1143,0,15,0,1287,0,215,17.59
2021-03-26,12-17,261,5457,29,1172,1,16,291,1578,30,245,18.18
2021-03-27,12-17,254,5711,79,1251,0,16,0,1578,0,245,18.95
2021-03-28,12-17,203,5914,30,1281,2,18,235,1813,32,277,19.78
2021-03-29,12-17,327,6241,72,1353,1,19,400,2213,73,350,20.21
2021-03-30,12-17,525,6766,80,1433,1,20,606,2819,81,431,20.66
2021-03-31,12-17,691,7457,97,1530,8,28,796,3615,105,536,21.14
2021-04-01,12-17,623,8080,154,1684,1,29,778,4393,155,691,21.37
2021-04-02,12-17,744,8824,117,1801,7,36,868,5261,124,815,21.15
2021-02-02,18-49,3020,204911,6709,65135,0,0,0,0,0,0,25.81
2021-02-03,18-49,4789,209700,9670,74805,0,0,0,0,0,0,24.31
2021-02-04,18-49,5273,214973,8138,82943,0,0,0,0,0,0,23.52
2021-02-05,18-49,5341,220314,8745,91688,0,0,0,0,0,0,22.11
2021-02-06,18-49,3550,223864,3265,94953,0,0,0,0,0,0,21.68
2021-02-07,18-49,1516,225380,764,95717,0,0,0,0,0,0,21.07
2021-02-08,18-49,3266,228646,6043,101760,0,0,0,0,0,0,21.24
2021-02-09,18-49,4177,232823,5903,107663,0,0,0,0,0,0,21.7
2021-02-10,18-49,4317,237140,9302,116965,0,0,0,0,0,0,20.9
2021-02-11,18-49,5771,242911,7819,124784,0,0,0,0,0,0,19.83
2021-02-12,18-49,5941,248852,8707,133491,0,0,0,0,0,0,19.03
2021-02-13,18-49,2884,251736,2319,135810,0,0,0,0,0,0,17.33
2021-02-14,18-49,2180,253916,741,136551,0,0,0,0,0,0,16.9
2021-02-15,18-49,2936,256852,4363,140914,0,0,0,0,0,0,15.8
2021-02-16,18-49,4440,261292,6160,147074,0,0,0,0,0,0,14.92
2021-02-17,18-49,6356,267648,8011,155085,0,0,0,0,0,0,14.42
2021-02-18,18-49,1024,268672,1511,156596,0,0,0,0,0,0,14.17
2021-02-19,18-49,2832,271504,6538,163134,0,0,0,0,0,0,13.23
2021-02-20,18-49,2864,274368,6204,169338,0,0,0,0,0,0,12.69
2021-02-21,18-49,1517,275885,1702,171040,0,0,0,0,0,0,12.43
2021-02-22,18-49,2095,277980,4663,175703,0,0,0,0,0,0,12.78
2021-02-23,18-49,4195,282175,3922,179625,0,0,0,0,0,0,13.02
2021-02-24,18-49,4959,287134,6175,185800,0,0,0,0,0,0,13
2021-02-25,18-49,5063,292197,6620,192420,0,0,0,0,0,0,12.91
2021-02-26,18-49,6695,298892,7366,199786,0,0,0,0,0,0,13.08
2021-02-27,18-49,4666,303558,3269,203055,0,0,0,0,0,0,13.57
2021-02-28,18-49,4276,307834,1292,204347,0,0,0,0,0,0,13.55
2021-03-01,18-49,8193,316027,2827,207174,0,0,0,0,0,0,13.1
2021-03-02,18-49,6477,322504,2922,210096,7,7,9406,9406,2929,2929,12.92
2021-03-03,18-49,8963,331467,4791,214887,64,71,13818,23224,4855,7784,12.52
2021-03-04,18-49,8685,340152,4220,219107,1325,1396,14230,37454,5545,13329,12.39
2021-03-05,18-49,7775,347927,5243,224350,1212,2608,14230,51684,6455,19784,12.61
2021-03-06,18-49,5576,353503,2746,227096,2219,4827,10541,62225,4965,24749,12.33
2021-03-07,18-49,3670,357173,1501,228597,2655,7482,7826,70051,4156,28905,12.6
2021-03-08,18-49,7034,364207,2561,231158,2720,10202,12315,82366,5281,34186,12.99
2021-03-09,18-49,7545,371752,3910,235068,2768,12970,14223,96589,6678,40864,13.26
2021-03-10,18-49,8762,380514,4683,239751,3103,16073,16548,113137,7786,48650,13.53
2021-03-11,18-49,12000,392514,3957,243708,1160,17233,17117,130254,5117,53767,13.71
2021-03-12,18-49,12084,404598,5399,249107,884,18117,18367,148621,6283,60050,14.11
2021-03-13,18-49,8815,413413,2855,251962,505,18622,12175,160796,3360,63410,14.47
2021-03-14,18-49,7616,421029,1935,253897,408,19030,9959,170755,2343,65753,14.23
2021-03-15,18-49,12425,433454,2819,256716,214,19244,15458,186213,3033,68786,14.3
2021-03-16,18-49,12815,446269,3375,260091,190,19434,16380,202593,3565,72351,14.34
2021-03-17,18-49,13837,460106,4371,264462,512,19946,18720,221313,4883,77234,14.78
2021-03-18,18-49,16875,476981,3650,268112,574,20520,21099,242412,4224,81458,15.17
2021-03-19,18-49,15104,492085,3770,271882,383,20903,19257,261669,4153,85611,15.21
2021-03-20,18-49,11220,503305,3215,275097,279,21182,14714,276383,3494,89105,15.55
2021-03-21,18-49,9023,512328,2333,277430,154,21336,11510,287893,2487,91592,15.71
2021-03-22,18-49,14058,526386,3228,280658,284,21620,17570,305463,3512,95104,15.86
2021-02-02,50-64,2146,121975,4131,38841,0,0,0,0,0,0,25.81
2021-02-03,50-64,3241,125216,5743,44584,0,0,0,0,0,0,24.31
2021-02-04,50-64,4101,129317,4932,49516,0,0,0,0,0,0,23.52
2021-02-05,50-64,3640,132957,5182,54698,0,0,0,0,0,0,22.11
2021-02-06,50-64,2104,135061,1856,56554,0,0,0,0,0,0,21.68
2021-02-07,50-64,1092,136153,482,57036,0,0,0,0,0,0,21.07
2021-02-08,50-64,2179,138332,3555,60591,0,0,0,0,0,0,21.24
2021-02-09,50-64,2784,141116,3528,64119,0,0,0,0,0,0,21.7
2021-02-10,50-64,3172,144288,5400,69519,0,0,0,0,0,0,20.9
2021-02-11,50-64,4036,148324,4232,73751,0,0,0,0,0,0,19.83
2021-02-12,50-64,4139,152463,4913,78664,0,0,0,0,0,0,19.03
2021-02-13,50-64,2092,154555,1107,79771,0,0,0,0,0,0,17.33
2021-02-14,50-64,1405,155960,481,80252,0,0,0,0,0,0,16.9
